City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kharod,IN,82.98,overcast clouds,21.75,82.5667,STARiHOTELS Sheorinarayan
1,Manta,EC,73.18,broken clouds,-0.95,-80.7333,Balandra Hotel
4,Upata,VE,74.19,overcast clouds,8.0086,-62.3989,Posada Villa Nela
5,Goderich,CA,66.9,clear sky,43.7501,-81.7165,Harmony Inn
6,New Norfolk,AU,56.71,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
8,Constitucion,CL,55.04,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
10,Madinat Sittah Uktubar,EG,82.0,clear sky,29.8167,31.05,Happy Kennel Academy
11,Whitehorse,CA,75.97,broken clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
12,Port Elizabeth,ZA,50.29,light rain,-33.918,25.5701,39 On Nile Guest House
13,Kubuta,SZ,52.38,clear sky,-26.8833,31.4833,Ka-Mbebe/Nyoni/Nzameya
14,Sao Filipe,CV,73.99,scattered clouds,14.8961,-24.4956,Hotel Xaguate
15,Thompson,CA,69.96,overcast clouds,55.7435,-97.8558,Burntwood Hotel
16,Vila Franca Do Campo,PT,68.41,few clouds,37.7167,-25.4333,Pestana Bahia Praia
17,Anahuac,MX,84.11,scattered clouds,27.2333,-100.15,HOTEL SAN FELIPE
18,Nyimba,ZM,58.05,clear sky,-14.5566,30.8149,Dali Dali Lodge
19,Yellowknife,CA,75.29,few clouds,62.456,-114.3525,The Explorer Hotel
23,Alingsas,SE,55.51,few clouds,57.9303,12.5335,Grand Hotel Alingsås
24,Hermanus,ZA,50.81,light rain,-34.4187,19.2345,Misty Waves Boutique Hotel
25,Pathein,MM,79.27,overcast clouds,16.7833,94.7333,New Pammawaddy Hotel
27,Carnarvon,AU,71.67,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
28,Xiongzhou,CN,85.26,overcast clouds,25.1167,114.3,Xinhewan Business Hotel
29,Tuktoyaktuk,CA,80.6,clear sky,69.4541,-133.0374,End of The Road Ltd.
30,Victoria,HK,81.03,light rain,22.2855,114.1577,Mini Hotel Central
31,La Romana,DO,80.33,few clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
32,Sitka,US,60.69,scattered clouds,57.0531,-135.33,Westmark Sitka
33,Hithadhoo,MV,81.73,moderate rain,-0.6,73.0833,Scoop Guest House
35,High Level,CA,69.91,smoke,58.5169,-117.136,Days Inn by Wyndham High Level
