City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Kharod,IN,21.75,82.5667,82.98,70,100,12.1,overcast clouds
1,Manta,EC,-0.95,-80.7333,73.18,88,75,10.36,broken clouds
2,Dikson,RU,73.5069,80.5464,47.5,66,100,14.65,overcast clouds
3,Ushuaia,AR,-54.8,-68.3,33.46,75,75,6.91,broken clouds
4,Upata,VE,8.0086,-62.3989,74.19,95,100,4.16,overcast clouds
5,Goderich,CA,43.7501,-81.7165,66.9,77,6,10.36,clear sky
6,New Norfolk,AU,-42.7826,147.0587,56.71,79,98,1.99,overcast clouds
7,Hino,JP,35.6731,139.4003,92.37,60,1,4.61,clear sky
8,Constitucion,CL,-35.3333,-72.4167,55.04,79,100,5.01,overcast clouds
9,Saskylakh,RU,71.9167,114.0833,57.07,73,100,12.91,overcast clouds
10,Madinat Sittah Uktubar,EG,29.8167,31.05,82.0,51,0,15.14,clear sky
11,Whitehorse,CA,60.7161,-135.0538,75.97,33,75,13.0,broken clouds
12,Port Elizabeth,ZA,-33.918,25.5701,50.29,66,0,14.97,light rain
13,Kubuta,SZ,-26.8833,31.4833,52.38,38,0,7.52,clear sky
14,Sao Filipe,CV,14.8961,-24.4956,73.99,85,32,4.56,scattered clouds
15,Thompson,CA,55.7435,-97.8558,69.96,49,90,2.3,overcast clouds
16,Vila Franca Do Campo,PT,37.7167,-25.4333,68.41,90,13,10.78,few clouds
17,Anahuac,MX,27.2333,-100.15,84.11,56,36,8.48,scattered clouds
18,Nyimba,ZM,-14.5566,30.8149,58.05,64,0,2.33,clear sky
19,Yellowknife,CA,62.456,-114.3525,75.29,46,20,5.75,few clouds
20,Albany,US,42.6001,-73.9662,70.45,87,61,1.01,heavy intensity rain
21,Bluff,NZ,-46.6,168.3333,45.81,79,100,4.7,light rain
22,Mar Del Plata,AR,-38.0023,-57.5575,49.12,57,0,3.0,clear sky
23,Alingsas,SE,57.9303,12.5335,55.51,98,11,1.72,few clouds
24,Hermanus,ZA,-34.4187,19.2345,50.81,74,60,20.31,light rain
25,Pathein,MM,16.7833,94.7333,79.27,89,100,13.58,overcast clouds
26,Tasiilaq,GL,65.6145,-37.6368,41.16,97,87,3.33,overcast clouds
27,Carnarvon,AU,-24.8667,113.6333,71.67,66,90,10.36,overcast clouds
28,Xiongzhou,CN,25.1167,114.3,85.26,74,88,4.43,overcast clouds
29,Tuktoyaktuk,CA,69.4541,-133.0374,80.6,39,1,17.27,clear sky
30,Victoria,HK,22.2855,114.1577,81.03,96,100,8.99,light rain
31,La Romana,DO,18.4273,-68.9728,80.33,94,20,0.0,few clouds
32,Sitka,US,57.0531,-135.33,60.69,72,40,10.36,scattered clouds
33,Hithadhoo,MV,-0.6,73.0833,81.73,77,100,12.33,moderate rain
34,Riyadh,SA,24.6877,46.7219,91.54,33,62,3.65,broken clouds
35,High Level,CA,58.5169,-117.136,69.91,68,90,10.36,smoke
36,Oranjemund,NA,-28.55,16.4333,49.01,66,32,10.63,scattered clouds
37,Nikolskoye,RU,59.7035,30.7861,58.78,95,32,3.6,scattered clouds
38,Qaanaaq,GL,77.484,-69.3632,37.56,88,97,4.18,overcast clouds
39,Puerto Ayora,EC,-0.7393,-90.3518,73.54,93,100,5.01,overcast clouds
40,Luderitz,NA,-26.6481,15.1594,49.82,63,0,19.57,clear sky
41,Faanui,PF,-16.4833,-151.75,78.84,76,23,22.59,few clouds
42,Rikitea,PF,-23.1203,-134.9692,71.85,60,72,22.57,broken clouds
43,Norman Wells,CA,65.282,-126.8329,82.44,34,20,14.97,few clouds
44,Beringovskiy,RU,63.05,179.3167,45.14,85,100,8.01,overcast clouds
45,Conde,BR,-7.2597,-34.9075,69.26,100,20,5.75,few clouds
46,Punta Arenas,CL,-53.15,-70.9167,35.71,93,40,3.44,scattered clouds
47,Road Town,VG,18.4167,-64.6167,82.49,76,43,15.39,scattered clouds
48,Chernyshevskiy,RU,63.0128,112.4714,75.81,39,70,7.92,broken clouds
49,Kavaratti,IN,10.5669,72.642,82.22,80,100,19.95,overcast clouds
50,Hofn,IS,64.2539,-15.2082,57.18,66,2,5.95,clear sky
51,Dicabisagan,PH,17.0818,122.4157,86.11,65,99,1.12,overcast clouds
52,Makakilo City,US,21.3469,-158.0858,82.72,66,75,9.22,light rain
53,Busselton,AU,-33.65,115.3333,59.04,87,79,17.74,broken clouds
54,Batelov,CZ,49.3143,15.3947,54.28,89,29,3.06,scattered clouds
55,Inta,RU,66.0317,60.1659,60.31,58,38,1.95,scattered clouds
56,Klaksvik,FO,62.2266,-6.589,52.72,97,53,10.36,broken clouds
57,Kishi,NG,9.0833,3.85,71.67,91,87,8.14,overcast clouds
58,Comodoro Rivadavia,AR,-45.8667,-67.5,46.26,71,0,3.44,clear sky
59,Kutum,SD,14.2,24.6667,73.89,67,100,19.77,overcast clouds
60,Farrukhnagar,IN,17.0778,78.2011,71.56,89,100,15.48,moderate rain
61,Auki,SB,-8.7676,160.7034,85.12,66,29,4.14,scattered clouds
62,Kruisfontein,ZA,-34.0033,24.7314,45.88,71,77,12.64,broken clouds
63,Taoudenni,ML,22.6783,-3.9836,103.87,11,88,2.37,overcast clouds
64,Castro,BR,-24.7911,-50.0119,43.66,63,100,1.86,overcast clouds
65,Butaritari,KI,3.0707,172.7902,81.99,74,15,7.94,moderate rain
66,San Patricio,US,28.017,-97.5169,84.06,75,37,6.98,scattered clouds
67,Cape Town,ZA,-33.9258,18.4232,52.88,78,77,7.0,broken clouds
68,Vaini,TO,-21.2,-175.2,80.76,83,40,6.91,scattered clouds
69,Kapaa,US,22.0752,-159.319,85.98,76,75,7.0,light rain
70,Mataura,NZ,-46.1927,168.8643,45.48,84,100,1.86,light rain
71,Kloulklubed,PW,7.0419,134.2556,86.5,74,48,9.84,scattered clouds
72,Kangaatsiaq,GL,68.3065,-53.4641,41.9,88,98,4.21,overcast clouds
73,Belaya Gora,RU,68.5333,146.4167,64.47,56,87,7.52,overcast clouds
74,Port Alfred,ZA,-33.5906,26.891,54.01,70,100,24.29,light rain
75,Lompoc,US,34.6391,-120.4579,72.21,82,75,11.5,broken clouds
76,Tiksi,RU,71.6872,128.8694,45.03,68,43,8.97,scattered clouds
77,Arraial Do Cabo,BR,-22.9661,-42.0278,64.11,68,71,8.05,broken clouds
78,Porto Novo,BJ,6.4965,2.6036,78.62,82,76,7.85,broken clouds
79,Scarborough,GB,54.2797,-0.4044,62.92,90,0,1.01,clear sky
80,Hilo,US,19.7297,-155.09,77.25,90,90,4.61,light rain
81,Carstairs,CA,51.5668,-114.102,70.63,55,38,9.86,scattered clouds
82,Boysun,UZ,38.2061,67.1986,79.97,24,1,1.03,clear sky
83,Half Moon Bay,US,37.4636,-122.4286,76.33,80,20,12.66,few clouds
84,Berlevag,NO,70.8578,29.0864,43.54,93,100,23.47,light rain
85,Kavieng,PG,-2.5744,150.7967,84.76,66,97,3.62,overcast clouds
86,Newburyport,US,42.8126,-70.8773,77.02,86,33,4.61,scattered clouds
87,Maragogi,BR,-9.0122,-35.2225,74.19,82,4,8.63,clear sky
88,Warrington,GB,53.3925,-2.5802,64.8,89,0,1.14,clear sky
89,Port-Gentil,GA,-0.7193,8.7815,74.73,76,91,10.49,overcast clouds
90,Gasa,PS,31.5,34.4667,78.78,69,5,3.94,clear sky
91,Jamestown,US,42.097,-79.2353,71.24,83,1,9.22,clear sky
92,Cap Malheureux,MU,-19.9842,57.6142,71.47,65,2,7.0,clear sky
93,Manuk Mangkaw,PH,4.8,119.85,84.61,75,22,13.49,few clouds
94,Souillac,MU,-20.5167,57.5167,71.37,60,40,14.97,light rain
95,Leninskoye,KZ,41.7589,69.3864,82.18,19,16,8.61,few clouds
96,Talnakh,RU,69.4865,88.3972,59.97,57,0,2.77,clear sky
97,Nishihara,JP,26.1842,127.7558,81.68,92,90,28.77,light intensity shower rain
98,Virginia Beach,US,36.8529,-75.978,79.02,77,75,4.61,broken clouds
99,Buraydah,SA,26.326,43.975,90.05,14,93,9.53,overcast clouds
100,Zyryanovsk,KZ,49.7386,84.2719,75.18,43,36,0.18,scattered clouds
101,Ribeira Grande,PT,38.5167,-28.7,68.41,80,58,16.46,broken clouds
102,Tigil,RU,57.8,158.6667,69.01,47,100,21.41,overcast clouds
103,Heihe,CN,50.2441,127.4902,86.58,62,5,2.77,clear sky
104,Huarmey,PE,-10.0681,-78.1522,63.93,83,4,4.65,clear sky
105,Bocas Del Toro,PA,9.3333,-82.25,80.22,83,41,10.98,scattered clouds
106,Saint Anthony,US,45.0205,-93.218,80.65,73,1,3.0,haze
107,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,88,90,14.97,overcast clouds
108,Xai-Xai,MZ,-25.0519,33.6442,60.73,72,0,7.76,clear sky
109,Wamba,NG,8.9333,8.6,71.98,94,100,3.56,light rain
110,Karratha,AU,-20.7377,116.8463,79.93,48,9,8.37,clear sky
111,Liuhe,CN,42.2401,125.7172,86.49,53,1,3.74,clear sky
112,Katsuura,JP,35.1333,140.3,89.71,66,55,6.8,broken clouds
113,Chokurdakh,RU,70.6333,147.9167,56.16,69,88,13.13,overcast clouds
114,Cabo San Lucas,MX,22.8909,-109.9124,90.81,68,4,13.27,clear sky
115,Hambantota,LK,6.1241,81.1185,84.54,74,20,13.8,few clouds
116,Vao,NC,-22.6667,167.4833,69.49,79,98,10.54,overcast clouds
117,Hobart,AU,-42.8794,147.3294,57.06,62,75,1.01,broken clouds
118,Tazovskiy,RU,67.4667,78.7,61.9,57,81,13.85,broken clouds
119,Mahebourg,MU,-20.4081,57.7,71.26,60,40,14.97,light rain
120,Acarau,BR,-2.8856,-40.12,77.7,82,56,13.09,broken clouds
121,Margate,GB,51.3813,1.3862,64.04,90,0,1.99,clear sky
122,Cabra,ES,37.4725,-4.4421,73.9,47,0,2.06,clear sky
123,Sheridan,US,44.8333,-106.9173,86.18,51,1,1.99,clear sky
124,Olafsvik,IS,64.8945,-23.7142,51.69,93,100,19.86,overcast clouds
125,Alta Floresta,BR,-9.8756,-56.0861,70.47,44,0,3.85,clear sky
126,Bethel,US,41.3712,-73.414,75.15,89,1,3.44,mist
127,Amapa,BR,1.0,-52.0,70.74,97,29,2.06,scattered clouds
128,Ponta Do Sol,PT,32.6667,-17.1,71.71,78,0,3.98,clear sky
129,Tuatapere,NZ,-46.1333,167.6833,45.82,82,100,3.56,light rain
130,Mount Isa,AU,-20.7333,139.5,73.17,25,15,10.36,few clouds
131,Dakar,SN,14.6937,-17.4441,79.68,80,96,7.0,overcast clouds
132,Provideniya,RU,64.3833,-173.3,55.51,62,75,11.18,broken clouds
133,Balkanabat,TM,39.5108,54.3671,89.26,27,0,2.33,clear sky
134,Bredasdorp,ZA,-34.5322,20.0403,50.29,81,51,8.05,broken clouds
135,Hovd,MN,48.0056,91.6419,73.33,32,0,3.06,clear sky
