City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Iqaluit,CA,2021-07-18 15:00:38,63.7506,-68.5145,45.7,61,83,8.01
1,Atuona,PF,2021-07-18 15:04:35,-9.8,-139.0333,77.67,73,23,28.01
2,Rikitea,PF,2021-07-18 15:04:35,-23.1203,-134.9692,71.02,64,100,28.05
3,Thompson,CA,2021-07-18 15:01:47,55.7435,-97.8558,53.8,57,100,7.94
4,Poplar Bluff,US,2021-07-18 15:04:36,36.757,-90.3929,78.53,89,90,11.5
5,Canarana,BR,2021-07-18 15:04:36,-11.6847,-41.7689,87.01,27,0,4.74
6,Norman Wells,CA,2021-07-18 15:04:37,65.282,-126.8329,65.44,45,57,4.76
7,Laje,BR,2021-07-18 15:04:37,-10.1833,-40.9667,84.49,37,1,8.79
8,Ahuimanu,US,2021-07-18 15:04:37,21.4447,-157.8378,78.51,72,20,12.66
9,Carnarvon,AU,2021-07-18 15:04:38,-24.8667,113.6333,62.67,50,90,8.05
10,Airai,TL,2021-07-18 15:00:52,-8.9266,125.4092,57.61,64,84,2.77
11,Saskylakh,RU,2021-07-18 15:04:38,71.9167,114.0833,62.35,52,100,9.6
12,Chokurdakh,RU,2021-07-18 15:04:39,70.6333,147.9167,38.12,83,58,8.03
13,Clyde River,CA,2021-07-18 15:04:39,70.4692,-68.5914,36.52,80,100,8.1
14,Grindavik,IS,2021-07-18 15:04:39,63.8424,-22.4338,49.55,87,90,9.22
15,Roros,NO,2021-07-18 15:04:40,62.5747,11.3842,49.84,66,75,24.16
16,Busselton,AU,2021-07-18 15:04:40,-33.65,115.3333,49.08,76,2,9.53
17,Bull Savanna,JM,2021-07-18 15:04:41,17.8868,-77.5902,84.09,63,95,8.23
18,Dikson,RU,2021-07-18 15:04:41,73.5069,80.5464,35.78,86,21,11.01
19,Manicore,BR,2021-07-18 15:04:41,-5.8092,-61.3003,92.7,40,0,3.74
20,Oktyabrskoye,RU,2021-07-18 15:04:42,43.0645,44.7417,91.54,34,1,6.71
21,Ushuaia,AR,2021-07-18 14:59:49,-54.8,-68.3,40.66,70,75,17.27
22,Loukhi,RU,2021-07-18 15:04:42,66.0764,33.0381,58.84,92,95,10.74
23,Mocuba,MZ,2021-07-18 15:02:49,-16.8392,36.9856,67.03,77,100,3.0
24,Nikolskoye,RU,2021-07-18 15:01:21,59.7035,30.7861,82.29,30,4,6.58
25,Albany,US,2021-07-18 15:04:43,42.6001,-73.9662,72.75,95,100,4.59
26,Vaini,TO,2021-07-18 15:04:43,-21.2,-175.2,73.56,94,20,4.61
27,Upernavik,GL,2021-07-18 15:04:44,72.7868,-56.1549,39.81,78,41,14.79
28,Chuy,UY,2021-07-18 15:04:44,-33.6971,-53.4616,43.68,90,100,24.36
29,Tuatapere,NZ,2021-07-18 15:04:44,-46.1333,167.6833,43.57,92,48,3.94
30,Coihaique,CL,2021-07-18 15:04:45,-45.5752,-72.0662,41.61,70,90,5.75
31,Nadym,RU,2021-07-18 15:04:45,65.5333,72.5167,64.87,51,85,2.91
32,San Blas,MX,2021-07-18 15:04:45,21.5167,-105.2667,84.09,78,100,1.43
33,Itarantim,BR,2021-07-18 15:04:46,-15.6597,-40.0656,87.42,30,0,1.92
34,New Norfolk,AU,2021-07-18 15:04:46,-42.7826,147.0587,51.3,80,100,1.01
35,Qaanaaq,GL,2021-07-18 15:04:46,77.484,-69.3632,36.1,86,100,5.68
36,Punta Arenas,CL,2021-07-18 15:03:44,-53.15,-70.9167,37.11,93,100,6.78
37,Nacogdoches,US,2021-07-18 15:00:14,31.6002,-94.6335,85.71,82,10,4.05
38,Clarence Town,AU,2021-07-18 15:04:47,-32.5833,151.7833,50.56,80,70,3.96
39,Kavieng,PG,2021-07-18 15:04:47,-2.5744,150.7967,81.82,77,90,12.3
40,Pueblo Nuevo,MX,2021-07-18 15:04:48,23.3833,-105.3833,66.63,63,86,3.38
41,Zharkent,KZ,2021-07-18 15:04:48,44.1628,80.0,78.71,22,91,4.52
42,Sao Filipe,CV,2021-07-18 15:04:48,14.8961,-24.4956,74.75,85,31,7.25
43,Khatanga,RU,2021-07-18 15:04:49,71.9667,102.5,61.59,73,100,8.28
44,Hofn,IS,2021-07-18 15:04:49,64.2539,-15.2082,53.98,83,34,13.06
45,Bure,ET,2021-07-18 15:04:49,10.7,37.0667,60.35,93,95,2.37
46,Kargasok,RU,2021-07-18 15:04:50,59.0556,80.8572,56.39,87,37,5.46
47,Kruisfontein,ZA,2021-07-18 15:04:50,-34.0033,24.7314,67.15,25,0,4.63
48,Cape Town,ZA,2021-07-18 14:59:53,-33.9258,18.4232,77.41,29,0,13.8
49,Avarua,CK,2021-07-18 15:04:51,-21.2078,-159.775,75.25,83,11,5.75
50,Vokhma,RU,2021-07-18 15:04:51,58.9303,46.7586,78.03,49,0,3.13
51,Tiznit,MA,2021-07-18 15:04:51,29.5833,-9.5,103.5,8,3,16.91
52,Mokhsogollokh,RU,2021-07-18 15:04:52,61.4681,128.9203,62.28,71,7,2.35
53,Ahipara,NZ,2021-07-18 15:04:52,-35.1667,173.1667,56.17,91,19,16.64
54,Hermanus,ZA,2021-07-18 15:00:44,-34.4187,19.2345,67.8,60,6,2.19
55,Luderitz,NA,2021-07-18 15:04:52,-26.6481,15.1594,75.56,35,0,8.72
56,Hilo,US,2021-07-18 15:00:27,19.7297,-155.09,72.81,95,79,4.43
57,Vila Franca Do Campo,PT,2021-07-18 15:04:53,37.7167,-25.4333,73.81,62,1,9.37
58,Arraial Do Cabo,BR,2021-07-18 15:04:54,-22.9661,-42.0278,75.06,83,75,10.36
59,San Patricio,US,2021-07-18 15:04:54,28.017,-97.5169,88.88,67,7,6.51
60,Tigil,RU,2021-07-18 15:04:54,57.8,158.6667,53.28,96,100,6.78
61,Fukue,JP,2021-07-18 15:04:55,32.6881,128.8419,79.61,84,100,10.47
62,Esperance,AU,2021-07-18 15:04:55,-33.8667,121.9,55.02,82,15,13.87
63,Vao,NC,2021-07-18 15:04:55,-22.6667,167.4833,69.87,76,100,16.46
64,Kommunar,RU,2021-07-18 15:04:56,59.6206,30.39,81.93,32,0,6.38
65,Lorengau,PG,2021-07-18 15:01:16,-2.0226,147.2712,80.28,78,99,4.27
66,East London,ZA,2021-07-18 15:04:56,-33.0153,27.9116,66.06,61,1,19.46
67,Mardin,TR,2021-07-18 15:04:56,37.3131,40.7436,100.51,11,0,9.22
68,Darhan,MN,2021-07-18 15:04:57,49.4867,105.9228,60.24,93,100,6.91
69,Ilulissat,GL,2021-07-18 15:04:57,69.2167,-51.1,53.62,50,75,5.75
70,Jaszkiser,HU,2021-07-18 15:04:57,47.45,20.2167,91.4,31,47,8.37
71,Sorland,NO,2021-07-18 15:04:58,67.667,12.6934,51.66,86,100,16.44
72,Fortuna,US,2021-07-18 15:01:15,40.5982,-124.1573,55.92,94,90,1.01
73,Jamestown,US,2021-07-18 15:01:02,42.097,-79.2353,72.18,78,87,9.08
74,Atar,MR,2021-07-18 15:04:58,20.5169,-13.0499,112.6,11,11,8.48
75,Bilibino,RU,2021-07-18 15:04:59,68.0546,166.4372,43.93,77,100,1.92
76,Kapaa,US,2021-07-18 15:04:59,22.0752,-159.319,79.12,83,75,16.11
77,Chalus,IR,2021-07-18 15:04:59,36.655,51.4204,85.08,76,20,4.23
78,Ballina,AU,2021-07-18 15:05:00,-28.8667,153.5667,51.78,73,91,6.04
79,Manggar,ID,2021-07-18 15:05:00,-2.8833,108.2667,81.3,80,77,7.4
80,Nome,US,2021-07-18 15:02:52,64.5011,-165.4064,48.16,97,100,4.18
81,Albania,AL,2021-07-18 15:03:59,41.0,20.0,78.19,92,100,2.91
82,Suntar,RU,2021-07-18 15:05:01,62.1444,117.6319,72.27,64,96,8.05
83,Stokmarknes,NO,2021-07-18 15:05:03,68.5646,14.9108,54.37,86,75,17.27
84,Nayoro,JP,2021-07-18 15:05:04,44.3506,142.4578,67.78,98,15,2.55
85,Alberton,CA,2021-07-18 15:05:04,46.8168,-64.0654,71.47,66,97,1.28
86,Hithadhoo,MV,2021-07-18 15:01:06,-0.6,73.0833,82.17,75,20,6.2
87,Severo-Kurilsk,RU,2021-07-18 15:05:05,50.6789,156.125,53.24,97,100,8.57
88,Saint-Philippe,RE,2021-07-18 15:00:58,-21.3585,55.7679,71.19,85,67,15.21
